feature_set,model,n_features,features,is_production_feature_set,production_feature_set,train_seasons,test_seasons,train_rows,test_rows,accuracy,roc_auc,brier_score,log_loss,precision,recall,f1
baseline_plus_star_features,Extra Trees,19,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A,top_1_ppg_diff,top_1_mpg_diff,top_1_ts_pct_diff,top_3_ppg_diff,top_3_mpg_diff,top_3_ts_pct_diff,top_5_ppg_diff,top_5_mpg_diff",False,baseline_plus_corrected_signs,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",668,166,0.6144578313253012,0.692893772893773,0.22427601788336696,0.636766025390381,0.6285714285714286,0.7252747252747253,0.673469387755102
baseline_plus_corrected_signs,Random Forest,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",True,baseline_plus_corrected_signs,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",668,166,0.6566265060240963,0.6917216117216117,0.22456005034707507,0.6403081084080127,0.6847826086956522,0.6923076923076923,0.6885245901639344
baseline_plus_star_features,Random Forest,19,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A,top_1_ppg_diff,top_1_mpg_diff,top_1_ts_pct_diff,top_3_ppg_diff,top_3_mpg_diff,top_3_ts_pct_diff,top_5_ppg_diff,top_5_mpg_diff",False,baseline_plus_corrected_signs,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",668,166,0.6325301204819277,0.6915750915750917,0.22338074264828217,0.6358055006674891,0.6442307692307693,0.7362637362637363,0.6871794871794872
baseline_plus_style_matchups,Random Forest,16,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A,three_point_offense_vs_defense_diff,paint_scoring_vs_paint_defense_diff,offensive_rebound_vs_defensive_rebound_diff,turnover_creation_vs_turnover_rate_diff,ft_rate_vs_foul_rate_diff",False,baseline_plus_corrected_signs,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",668,166,0.6265060240963856,0.6911355311355311,0.2231813471103961,0.6384298903929738,0.6629213483146067,0.6483516483516484,0.6555555555555556
baseline_plus_style_matchups,Extra Trees,16,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A,three_point_offense_vs_defense_diff,paint_scoring_vs_paint_defense_diff,offensive_rebound_vs_defensive_rebound_diff,turnover_creation_vs_turnover_rate_diff,ft_rate_vs_foul_rate_diff",False,baseline_plus_corrected_signs,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",668,166,0.6265060240963856,0.6823443223443223,0.2298304347148802,0.651299660601107,0.6629213483146067,0.6483516483516484,0.6555555555555556
top_15_by_importance,Extra Trees,15,"clipped_home_win_pct_diff,home_win_pct_diff,home_team_A,series_score_diff,ts_pct_diff,home_advantage_diff,clipped_away_win_pct_diff,seed_difference,efg_pct_diff,rest_days_A,team_B_rest_days,higher_seed_A,team_A_rest_days,away_win_pct_diff,top_1_ts_pct_diff",False,baseline_plus_corrected_signs,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",668,166,0.6445783132530121,0.6811721611721611,0.22609251033199104,0.6432597775203592,0.6818181818181818,0.6593406593406593,0.6703910614525139
top_10_by_importance,Extra Trees,10,"clipped_home_win_pct_diff,home_win_pct_diff,home_team_A,series_score_diff,ts_pct_diff,home_advantage_diff,clipped_away_win_pct_diff,seed_difference,efg_pct_diff,rest_days_A",False,baseline_plus_corrected_signs,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",668,166,0.6325301204819277,0.681025641025641,0.22649952204127374,0.6459697517865235,0.6973684210526315,0.5824175824175825,0.6347305389221557
baseline_plus_corrected_signs,Extra Trees,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",True,baseline_plus_corrected_signs,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",668,166,0.6445783132530121,0.6769230769230768,0.23067657441735334,0.6553126555222476,0.6632653061224489,0.7142857142857143,0.6878306878306878
baseline_plus_weighted_recent_form,Extra Trees,15,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A,weighted_recent_win_pct_diff,weighted_recent_net_rating_diff,weighted_recent_ts_pct_diff,weighted_recent_def_rating_diff",False,baseline_plus_corrected_signs,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",668,166,0.6506024096385542,0.6739926739926742,0.22802193350009028,0.6503642411461446,0.6853932584269663,0.6703296703296703,0.6777777777777778
top_20_by_importance,Random Forest,20,"clipped_home_win_pct_diff,home_win_pct_diff,home_team_A,series_score_diff,ts_pct_diff,home_advantage_diff,clipped_away_win_pct_diff,seed_difference,efg_pct_diff,rest_days_A,team_B_rest_days,higher_seed_A,team_A_rest_days,away_win_pct_diff,top_1_ts_pct_diff,OFF_RATING_DIFF,rest_days_B,top_3_ts_pct_diff,last_5_playoff_point_diff,NET_RATING_DIFF",False,baseline_plus_corrected_signs,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",668,166,0.6445783132530121,0.6706227106227106,0.22667000217303457,0.6458369198983743,0.686046511627907,0.6483516483516484,0.6666666666666666
top_20_by_importance,Extra Trees,20,"clipped_home_win_pct_diff,home_win_pct_diff,home_team_A,series_score_diff,ts_pct_diff,home_advantage_diff,clipped_away_win_pct_diff,seed_difference,efg_pct_diff,rest_days_A,team_B_rest_days,higher_seed_A,team_A_rest_days,away_win_pct_diff,top_1_ts_pct_diff,OFF_RATING_DIFF,rest_days_B,top_3_ts_pct_diff,last_5_playoff_point_diff,NET_RATING_DIFF",False,baseline_plus_corrected_signs,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",668,166,0.6626506024096386,0.6698901098901098,0.2291823489814931,0.6503186355160239,0.7011494252873564,0.6703296703296703,0.6853932584269663
top_15_by_importance,Random Forest,15,"clipped_home_win_pct_diff,home_win_pct_diff,home_team_A,series_score_diff,ts_pct_diff,home_advantage_diff,clipped_away_win_pct_diff,seed_difference,efg_pct_diff,rest_days_A,team_B_rest_days,higher_seed_A,team_A_rest_days,away_win_pct_diff,top_1_ts_pct_diff",False,baseline_plus_corrected_signs,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",668,166,0.6445783132530121,0.6682783882783883,0.22984955719466196,0.6534661935263473,0.7,0.6153846153846154,0.6549707602339181
all_features,Extra Trees,78,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,last_3_win_pct_diff,last_5_win_pct_diff,last_10_win_pct_diff,last_5_net_rating_diff,last_10_net_rating_diff,last_5_point_diff_diff,last_10_point_diff_diff,weighted_recent_win_pct_diff,weighted_recent_net_rating_diff,weighted_recent_point_diff,weighted_recent_ts_pct_diff,weighted_recent_def_rating_diff,playoff_net_rating_diff,playoff_off_rating_diff,playoff_def_rating_diff,last_5_playoff_net_rating_diff,last_5_playoff_point_diff,top_1_ppg_diff,top_1_mpg_diff,top_1_ts_pct_diff,top_3_ppg_diff,top_3_mpg_diff,top_3_ts_pct_diff,top_5_ppg_diff,top_5_mpg_diff,home_team_A,home_win_pct_diff,away_win_pct_diff,team_A_home_advantage,team_B_home_advantage,home_advantage_diff,clipped_home_win_pct_diff,clipped_away_win_pct_diff,rest_days_diff,team_A_rest_days,team_B_rest_days,rest_days_A,rest_days_B,rest_diff,is_back_to_back_A,is_back_to_back_B,elo_diff,team_A_season_elo,team_B_season_elo,season_elo_diff,season_elo_diff_carryover_0_25,season_elo_diff_carryover_0_5,efg_pct_diff,ts_pct_diff,turnover_pct_diff,reb_pct_diff,assist_turnover_ratio_diff,ft_rate_diff,season_h2h_win_pct_diff,season_h2h_margin_diff,h2h_win_pct_diff,h2h_margin_diff,h2h_net_rating_diff,h2h_efg_pct_diff,h2h_ts_pct_diff,h2h_turnover_pct_diff,h2h_reb_pct_diff,seed_difference,higher_seed_A,game_number,elimination_game,series_score_diff,three_point_offense_vs_defense_diff,paint_scoring_vs_paint_defense_diff,offensive_rebound_vs_defensive_rebound_diff,turnover_creation_vs_turnover_rate_diff,ft_rate_vs_foul_rate_diff",False,baseline_plus_corrected_signs,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",668,166,0.6445783132530121,0.6678388278388278,0.22922887883257417,0.6522120909323973,0.66,0.7252747252747253,0.6910994764397905
baseline_plus_weighted_recent_form,Random Forest,15,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A,weighted_recent_win_pct_diff,weighted_recent_net_rating_diff,weighted_recent_ts_pct_diff,weighted_recent_def_rating_diff",False,baseline_plus_corrected_signs,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",668,166,0.6445783132530121,0.6662271062271062,0.2303063122110433,0.6565053642999745,0.686046511627907,0.6483516483516484,0.6666666666666666
