model,feature,importance,importance_type,prediction_context_mode
Random Forest,clipped_home_win_pct_diff,0.16386973154099985,calibrated_underlying_feature_importances_or_abs_coef,Current Hypothetical
Random Forest,OFF_RATING_DIFF,0.11714280656155973,calibrated_underlying_feature_importances_or_abs_coef,Current Hypothetical
Random Forest,W_PCT_DIFF,0.11244956322791609,calibrated_underlying_feature_importances_or_abs_coef,Current Hypothetical
Random Forest,NET_RATING_DIFF,0.11080212231932152,calibrated_underlying_feature_importances_or_abs_coef,Current Hypothetical
Random Forest,PLUS_MINUS_DIFF,0.10846168208810521,calibrated_underlying_feature_importances_or_abs_coef,Current Hypothetical
Random Forest,PACE_DIFF,0.09391625974365109,calibrated_underlying_feature_importances_or_abs_coef,Current Hypothetical
Random Forest,clipped_away_win_pct_diff,0.09088095021580518,calibrated_underlying_feature_importances_or_abs_coef,Current Hypothetical
Random Forest,DEF_RATING_DIFF,0.0860833618931366,calibrated_underlying_feature_importances_or_abs_coef,Current Hypothetical
Random Forest,seed_difference,0.07530504437696907,calibrated_underlying_feature_importances_or_abs_coef,Current Hypothetical
Random Forest,home_team_A,0.0300005102475235,calibrated_underlying_feature_importances_or_abs_coef,Current Hypothetical
Random Forest,higher_seed_A,0.011087967785012198,calibrated_underlying_feature_importances_or_abs_coef,Current Hypothetical
Random Forest,clipped_home_win_pct_diff,0.16386973154099985,calibrated_underlying_feature_importances_or_abs_coef,Playoff Series Context
Random Forest,OFF_RATING_DIFF,0.11714280656155973,calibrated_underlying_feature_importances_or_abs_coef,Playoff Series Context
Random Forest,W_PCT_DIFF,0.11244956322791609,calibrated_underlying_feature_importances_or_abs_coef,Playoff Series Context
Random Forest,NET_RATING_DIFF,0.11080212231932152,calibrated_underlying_feature_importances_or_abs_coef,Playoff Series Context
Random Forest,PLUS_MINUS_DIFF,0.10846168208810521,calibrated_underlying_feature_importances_or_abs_coef,Playoff Series Context
Random Forest,PACE_DIFF,0.09391625974365109,calibrated_underlying_feature_importances_or_abs_coef,Playoff Series Context
Random Forest,clipped_away_win_pct_diff,0.09088095021580518,calibrated_underlying_feature_importances_or_abs_coef,Playoff Series Context
Random Forest,DEF_RATING_DIFF,0.0860833618931366,calibrated_underlying_feature_importances_or_abs_coef,Playoff Series Context
Random Forest,seed_difference,0.07530504437696907,calibrated_underlying_feature_importances_or_abs_coef,Playoff Series Context
Random Forest,home_team_A,0.0300005102475235,calibrated_underlying_feature_importances_or_abs_coef,Playoff Series Context
Random Forest,higher_seed_A,0.011087967785012198,calibrated_underlying_feature_importances_or_abs_coef,Playoff Series Context
