model,model_type,calibration_method,train_seasons,test_seasons,feature_set,prediction_context_mode,n_features,features,train_rows,test_rows,accuracy,roc_auc,brier_score,log_loss,precision,recall,f1,expected_calibration_error,bin_index,bin_lower,bin_upper,bin_count,mean_predicted_probability,observed_win_rate,calibration_gap
Extra Trees,Extra Trees,isotonic,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6385542168674698,0.6645421245421246,0.2278422083862052,0.6475307558586187,0.6703296703296703,0.6703296703296703,0.6703296703296703,0.07588288289813881,1,0.0,0.1,0,,,
Extra Trees,Extra Trees,isotonic,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6385542168674698,0.6645421245421246,0.2278422083862052,0.6475307558586187,0.6703296703296703,0.6703296703296703,0.6703296703296703,0.07588288289813881,2,0.1,0.2,0,,,
Extra Trees,Extra Trees,isotonic,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6385542168674698,0.6645421245421246,0.2278422083862052,0.6475307558586187,0.6703296703296703,0.6703296703296703,0.6703296703296703,0.07588288289813881,3,0.2,0.30000000000000004,0,,,
Extra Trees,Extra Trees,isotonic,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6385542168674698,0.6645421245421246,0.2278422083862052,0.6475307558586187,0.6703296703296703,0.6703296703296703,0.6703296703296703,0.07588288289813881,4,0.30000000000000004,0.4,18,0.3699234451272014,0.5,0.13007655487279862
Extra Trees,Extra Trees,isotonic,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6385542168674698,0.6645421245421246,0.2278422083862052,0.6475307558586187,0.6703296703296703,0.6703296703296703,0.6703296703296703,0.07588288289813881,5,0.4,0.5,57,0.4523160602797755,0.3684210526315789,0.08389500764819657
Extra Trees,Extra Trees,isotonic,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6385542168674698,0.6645421245421246,0.2278422083862052,0.6475307558586187,0.6703296703296703,0.6703296703296703,0.6703296703296703,0.07588288289813881,6,0.5,0.6000000000000001,8,0.5441884683025717,0.375,0.16918846830257173
Extra Trees,Extra Trees,isotonic,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6385542168674698,0.6645421245421246,0.2278422083862052,0.6475307558586187,0.6703296703296703,0.6703296703296703,0.6703296703296703,0.07588288289813881,7,0.6000000000000001,0.7000000000000001,54,0.6791545529397192,0.6481481481481481,0.03100640479157102
Extra Trees,Extra Trees,isotonic,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6385542168674698,0.6645421245421246,0.2278422083862052,0.6475307558586187,0.6703296703296703,0.6703296703296703,0.6703296703296703,0.07588288289813881,8,0.7000000000000001,0.8,29,0.708782360956274,0.7931034482758621,0.0843210873195881
Extra Trees,Extra Trees,isotonic,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6385542168674698,0.6645421245421246,0.2278422083862052,0.6475307558586187,0.6703296703296703,0.6703296703296703,0.6703296703296703,0.07588288289813881,9,0.8,0.9,0,,,
Extra Trees,Extra Trees,isotonic,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6385542168674698,0.6645421245421246,0.2278422083862052,0.6475307558586187,0.6703296703296703,0.6703296703296703,0.6703296703296703,0.07588288289813881,10,0.9,1.0,0,,,
